9994 number of different values for Phone Number

values   counts
364291790805    1
977816360296    1
481185430813    1
48284566610     1
640715396456    1
69832283432     1
24374131997     1
186251057338    1
927307833949    1
954780272651    1
116859190565    1
219341665548    1
123475952922    1
968903017826    1
643363638619    1
501772256554    1
110389054723    1
830579860846    1
395817327881    1
123584933739    1
761579756441    1
619231931767    1
886719692077    1
11807970632     1
291567525225    1
554076289080    1
203073033428    1
243399228765    1
927482498887    1
996759389514    1
389324709121    1
293099492632    1
815132288358    1
273737944363    1
583291372914    1
567677986352    1
952346773814    1
808454360435    1
762284784981    1
798938488145    1
423116621114    1
513389456548    1
295476532424    1
828652035209    1
340162428200    1
529292072152    1
786690780351    1
532562273502    1
114507312367    1
909607120055    1
767646993747    1
455698506185    1
192513154241    1
269362351307    1
192322616517    1
182781422791    1
428815684832    1
57280013526     1
783524465661    1
624199021732    1
555919408301    1
476616006873    1
838338303643    1
715481992539    1
372519204140    1
253834448155    1
258567929117    1
944101073864    1
805472138588    1
840764022113    1
547570308288    1
209672250598    1
21353639167     1
610133953723    1
119684722776    1
386011040987    1
516584459475    1
331367965074    1
543770332531    1
651667782842    1
630938842596    1
142329890218    1
463551516035    1
419197549957    1
53256766898     1
985258874304    1
736405160753    1
315590498018    1
924444848930    1
872383925747    1
471738372439    1
674706924756    1
420466720149    1
448716045825    1
774364160943    1
766062419449    1
490347505269    1
553553589756    1
783765349862    1
786565532034    1
511935441187    1
482218872299    1
283660766707    1
410242442750    1
995577083324    1
306254013934    1
539220312168    1
216623903689    1
313558725513    1
376406607330    1
204939105852    1
927231653292    1
931408872874    1
869296761124    1
412380968436    1
212837993947    1
183536903566    1
961088701946    1
884681192756    1
686933902634    1
395806483806    1
20719521459     1
576802831661    1
176881489272    1
43525127533     1
470366412113    1
939440213259    1
721295273271    1
477505887846    1
448036503478    1
828154447106    1
71103485288     1
864338083133    1
293711462209    1
840023979316    1
205253046997    1
981748993283    1
676443052359    1
630772958522    1
577618128183    1
947935886845    1
540135912876    1
964115682784    1
62744026505     1
31467726222     1
725136731615    1
7679907208      1
564708206022    1
93039242639     1
79929807143     1
933822278935    1
906625387795    1
618236210495    1
557123185975    1
31764446581     1
615111528158    1
975863018684    1
748610931867    1
751409473400    1
801119327352    1
470940204053    1
827069783343    1
905878791286    1
114305520656    1
869603845246    1
383518342197    1
960323208314    1
795914595865    1
467984170021    1
923752531066    1
437547103292    1
240544586769    1
690152502364    1
193437891699    1
631309653056    1
15792346694     1
809971394803    1
452414645850    1
21227906094     1
527107245170    1
117676338491    1
756982387728    1
971145265391    1
97391584334     1
979859366966    1
793445984517    1
32342170681     1
90736774195     1
224770941998    1
853377700944    1
544864107533    1
747039632487    1
90603441025     1
135146406946    1
47760178189     1
533192330299    1
912522681401    1
726863268763    1
850990791613    1
267423943619    1
97521046480     1
840866490997    1
677763107739    1
747421508486    1
219683593161    1
448928465874    1
416958417971    1
849392393792    1
195847093213    1
101202915587    1
868051383212    1
527469959871    1
209633885149    1
413654971380    1
656140438419    1
509560998875    1
30876308448     1
493504330717    1
2606547970      1
931835624557    1
94657836020     1
166043548653    1
883342701468    1
130739101469    1
245767799786    1
123954386745    1
621879892921    1
793543947793    1
107384200161    1
323540755406    1
738044571219    1
775974958012    1
454550084561    1
917672210853    1
964360598564    1
35177951374     1
980527179530    1
364590366870    1
926766202722    1
981826139464    1
853444693203    1
700208788732    1
792468761847    1
553700023529    1
217368702143    1
247825409166    1
174220538762    1
644411237258    1
75782866090     1
167019312268    1
756742506713    1
70869490833     1
800478708938    1
224395431256    1
440018216070    1
940466840182    1
321415432734    1
277740346601    1
867984161965    1
22925016261     1
512531856637    1
264115342555    1
113502018761    1
421495934195    1
86295989451     1
386734652653    1
784166696164    1
640343471348    1
538791103619    1
620770938099    1
788317756641    1
851472766518    1
451492594850    1
984663739619    1
239266526284    1
189221604467    1
880116919319    1
956615824384    1
341250683822    1
13074893931     1
564841749545    1
307690238829    1
137950717046    1
972723338261    1
31146521740     1
758161736762    1
807379535159    1
224429786234    1
493764684903    1
220972762178    1
332358216831    1
36290281031     1
300300981328    1
429832821825    1
331354965074    1
547129269321    1
370728287397    1
558991324364    1
985312812281    1
880393739489    1
918862296300    1
327619153059    1
696345806034    1
97415688166     1
374568977578    1
708238836946    1
916693269525    1
706559145004    1
860745655087    1
446347088968    1
988012785780    1
620890045853    1
338504859425    1
214384860833    1
725051971440    1
995222353756    1
944572533317    1
351897745156    1
33920612031     1
424987645720    1
143007398720    1
209733058365    1
892185458500    1
265173477126    1
533600399135    1
643216738154    1
951883609356    1
782952452296    1
365507686199    1
435227748142    1
15485914907     1
640672752171    1
967446847297    1
326684194580    1
976898950978    1
816390700821    1
715656023835    1
716322422549    1
514853072767    1
499151120738    1
291037024099    1
209516994393    1
677205204849    1
509575096070    1
330322980673    1
704919149314    1
276678916379    1
890832529246    1
467478817379    1
72111042367     1
20651740955     1
733770803014    1
867438380842    1
792127411896    1
410694016729    1
929255663558    1
494339126996    1
572582587665    1
612315184813    1
470634513721    1
207744761597    1
371937367752    1
60928098069     1
538698970844    1
483522780889    1
726543011467    1
483910054800    1
851773595321    1
